"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-05-31,"United States",,0,1479,0.001354096140826,0.0047554347826087,0.0270833333333333,100223056
2019-05-31,"New York, NY","NY",1,2413,-0.00248036378668871,-0.00248036378668871,0.0147182506307822,5001717
2019-05-31,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2835,0,0,0.0305343511450382,2951304
2019-05-31,"Chicago, IL","IL",3,1703,0.00412735849056604,0.00769230769230769,0.0396825396825397,3131941
2019-05-31,"Dallas-Fort Worth, TX","TX",4,1651,0.00303766707168894,0.00609384521633151,0.0351097178683386,1872410
2019-05-31,"Philadelphia, PA","PA",5,1611,0,0.00373831775700935,0.0274234693877551,2024778
2019-05-31,"Houston, TX","TX",6,1586,0.000630914826498423,0.00189513581806696,0.0232258064516129,1764177
2019-05-31,"Washington, DC","DC",7,2179,0.00137867647058824,0.00322283609576427,0.0225246363209761,1886510
2019-05-31,"Miami-Fort Lauderdale, FL","FL",8,1934,0.00311203319502075,0.00834202294056309,0.0381105743424584,2395821
2019-05-31,"Atlanta, GA","GA",9,1462,0.0068870523415978,0.0131670131670132,0.0495333811916727,1841120
2019-05-31,"Boston, MA","MA",10,2415,0.00583090379008746,0.0100376411543287,0.0237388724035608,1484768
2019-05-31,"San Francisco, CA","CA",11,3458,0.000868306801736614,0.00290023201856148,0.0176574455562095,1233564
2019-05-31,"Detroit, MI","MI",12,1229,0.000814332247557003,0.00326530612244898,0.0284518828451883,1658627
2019-05-31,"Riverside, CA","CA",13,2004,0.00551931761164074,0.010590015128593,0.0575197889182058,1189086
2019-05-31,"Phoenix, AZ","AZ",14,1464,0.00826446280991736,0.0152565880721221,0.0717423133235725,1462212
2019-05-31,"Seattle, WA","WA",15,2245,0.00402504472271914,0.00582437275985663,0.0302891234511244,1160163
2019-05-31,"Minneapolis-St Paul, MN","MN",16,1706,0.00117370892018779,0.00530347672362994,0.0427872860635697,1140876
2019-05-31,"San Diego, CA","CA",17,2660,0.00377358490566038,0.00643208475217556,0.046420141620771,822214
2019-05-31,"St. Louis, MO","MO",18,1163,0.000860585197934596,0.00692640692640693,0.0210711150131694,1036657
2019-05-31,"Tampa, FL","FL",19,1454,0.00553250345781466,0.0104239054899236,0.0490620490620491,1079983
2019-05-31,"Baltimore, MD","MD",20,1751,-0.00171037628278221,0,0.00690051753881541,980943
2019-05-31,"Denver, CO","CO",21,2126,0.00567644276253548,0.0104562737642586,0.0365675280351048,874442
2019-05-31,"Pittsburgh, PA","PA",22,1105,0,0.00454545454545455,0.0240963855421687,862142
2019-05-31,"Portland, OR","OR",23,1883,0.00426666666666667,0.00856989823245849,0.026158038147139,715791
2019-05-31,"Charlotte, NC","NC",24,1352,0.00445765230312036,0.00970873786407767,0.045630317092034,864389
2019-05-31,"Sacramento, CA","CA",25,1927,0.00416883793642522,0.00890052356020942,0.0455778621812263,655943
2019-05-31,"San Antonio, TX","TX",26,1381,0.00582665695557174,0.0124633431085044,0.0344569288389513,647839
2019-05-31,"Orlando, FL","FL",27,1543,0.00455729166666667,0.0104780615586117,0.0678200692041522,765245
2019-05-31,"Cincinnati, OH","OH",28,1305,-0.00153022188217292,0.000766871165644172,0.0227272727272727,700351
2019-05-31,"Cleveland, OH","OH",29,1171,0.00256849315068493,0.00774526678141136,0.0271929824561404,726232
2019-05-31,"Kansas City, MO","MO",30,1303,0.00307929176289453,0.00773395204949729,0.0292259083728278,691454
2019-05-31,"Las Vegas, NV","NV",31,1418,0.0114122681883024,0.0201438848920863,0.0890937019969278,674387
2019-05-31,"Columbus, OH","OH",32,1374,0.00585651537335286,0.0102941176470588,0.0307576894223556,641399
2019-05-31,"Indianapolis, IN","IN",33,1239,0.00161681487469685,0.00405186385737439,0.0350877192982456,709299
2019-05-31,"San Jose, CA","CA",34,3583,0.00589556428972487,0.0101494220468001,0.0237142857142857,466524
2019-05-31,"Austin, TX","TX",35,1724,0.0075978959672706,0.0141176470588235,0.0261904761904762,536792
2019-05-31,"Virginia Beach, VA","VA",36,1448,-0.000690131124913734,0.00138312586445367,0.0284090909090909,561960
2019-05-31,"Nashville, TN","TN",37,1528,0.00394218134034166,0.00858085808580858,0.025503355704698,633800
2019-05-31,"Providence, RI","RI",38,1689,-0.00353982300884956,-0.00412735849056604,0.011377245508982,498745
2019-05-31,"Milwaukee, WI","WI",39,1324,-0.00749625187406297,-0.0119402985074627,-0.00226073850791258,408596
2019-05-31,"Jacksonville, FL","FL",40,1412,0.00857142857142857,0.014367816091954,0.0568862275449102,488373
2019-05-31,"Memphis, TN","TN",41,1122,0,0.000892060660124889,0.0265324794144556,445222
2019-05-31,"Oklahoma City, OK","OK",42,1119,0.00992779783393502,0.0181983621474067,0.0247252747252747,472034
2019-05-31,"Louisville-Jefferson County, KY","KY",43,1198,0.000835421888053467,0.00251046025104603,0.0092670598146588,552837
2019-05-31,"Hartford, CT","CT",44,1596,-0.00684505289359054,-0.00560747663551402,0.0114068441064639,397877
2019-05-31,"Richmond, VA","VA",45,1432,0.0013986013986014,0.00350385423966363,0.0302158273381295,453167
2019-05-31,"New Orleans, LA","LA",46,1407,-0.00705716302046577,-0.00845665961945032,0.0247632920611799,395740
2019-05-31,"Buffalo, NY","NY",47,1216,-0.0073469387755102,-0.0065359477124183,0.015025041736227,361033
2019-05-31,"Raleigh, NC","NC",48,1476,0.00682128240109141,0.0144329896907216,0.0271398747390397,412011
2019-05-31,"Birmingham, AL","AL",49,1111,0.0018034265103697,0.00908265213442325,0.0591039084842707,410394
2019-05-31,"Salt Lake City, UT","UT",50,1618,-0.000617665225447807,0.00185758513931889,0.0221099178774479,344134
2019-05-31,"Rochester, NY","NY",51,1416,0.00141442715700141,0.00425531914893617,0.039647577092511,329050
2019-05-31,"Grand Rapids, MI","MI",52,1372,0.00145985401459854,0.00365764447695684,0.0215934475055845,350652
2019-05-31,"Tucson, AZ","AZ",53,1260,0.008,0.0153102336825141,0.0517529215358931,311717
2019-05-31,"Urban Honolulu, HI","HI",54,2408,0.00124740124740125,0.00333333333333333,0.0242450021267546,279827
2019-05-31,"Tulsa, OK","OK",55,1039,0.00192864030858245,0.00580832526621491,0.045271629778672,341781
2019-05-31,"Fresno, CA","CA",56,1381,0.00876552227903579,0.0176860722181282,0.0344569288389513,224914
2019-05-31,"Worcester, MA","MA",57,1638,-0.00243605359317905,0,0.0295411690760528,287016
2019-05-31,"Stamford, CT","CT",58,2289,0.000874508089199825,0.00703915530136384,0.0101500441306267,295449
2019-05-31,"Albuquerque, NM","NM",59,1234,0.0032520325203252,0.0065252854812398,0.0300500834724541,298057
2019-05-31,"Albany, NY","NY",60,1538,0.000650618087182824,0.00130208333333333,-0.0038860103626943,261747
2019-05-31,"Omaha, NE","NE",61,1336,0.003003003003003,0.00906344410876133,0.0324574961360124,448448
2019-05-31,"New Haven, CT","CT",62,1623,-0.00855222968845449,-0.0109689213893967,0.0156445556946183,272709
2019-05-31,"Bakersfield, CA","CA",63,1317,0.00919540229885057,0.0146379044684129,0.0386435331230284,214467
2019-05-31,"Knoxville, TN","TN",64,1175,0.00599315068493151,0.0120585701981051,0.0288966725043783,345690
2019-05-31,"Greenville, SC","SC",65,1242,0.0008058017727639,0.00161290322580645,0.00485436893203883,275326
2019-05-31,"Ventura, CA","CA",66,2813,0.000711490572749911,0.00249465431218817,0.02551950419249,221309
2019-05-31,"Allentown, PA","PA",67,1462,-0.00679347826086957,-0.00814111261872456,0.0152777777777778,277425
2019-05-31,"El Paso, TX","TX",68,1000,-0.00199600798403194,0.001001001001001,0.0224948875255624,211806
2019-05-31,"Baton Rouge, LA","LA",69,1318,-0.000758150113722517,0.00228136882129278,-0.017151379567487,251338
2019-05-31,"Dayton, OH","OH",70,1023,0.0118694362017804,0.017910447761194,0.0734522560335782,285659
2019-05-31,"McAllen, TX","TX",71,983,-0.0140421263791374,-0.016016016016016,0.0175983436853002,184255
2019-05-31,"Columbia, SC","SC",72,1158,0.00520833333333333,0.011353711790393,0.0536851683348499,274523
2019-05-31,"Greensboro, NC","NC",73,1036,-0.0114503816793893,-0.0189393939393939,0.0974576271186441,263072
2019-05-31,"Akron, OH","OH",74,1129,0.00803571428571428,0.0171171171171171,0.0357798165137615,246324
2019-05-31,"North Port-Sarasota-Bradenton, FL","FL",75,1819,0.00165198237885463,0.00999444752915047,0.00719822812846069,350398
2019-05-31,"Little Rock, AR","AR",76,1033,0.0087890625,0.0187376725838264,0.03714859437751,244958
2019-05-31,"Stockton, CA","CA",77,1733,0.00814426992437464,0.0164222873900293,0.0522161505768063,174613
2019-05-31,"Charleston, SC","SC",78,1662,0.00727272727272727,0.0121802679658952,0.0407013149655604,247181
2019-05-31,"Syracuse, NY","NY",79,1325,-0.00971599402092676,-0.0119313944817301,0.0327357755261107,198251
2019-05-31,"Colorado Springs, CO","CO",80,1580,0.0076530612244898,0.0160771704180064,0.0333551340745585,223584
