"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-05-31,102001,"United States",0,226800,-0.00132100396301189,-0.000881057268722467,0.0539033457249071,0.0627458600818063,0.0301591266541343,"2019-03","2019-Q1",227200,-0.00176056338028169,"2019-02"
2019-05-31,9,"California",1,547700,-0.00200437317784257,-0.0047246956205706,0.0174623815716143,0.0621750591039449,0.0480649963657993,"2019-01","2019-Q1",550500,-0.00508628519527702,"2018-10"
2019-05-31,54,"Texas",2,196100,-0.00305033045246568,-0.00152749490835031,0.0594273365748244,0.0757810594726855,0.0409294283765496,"2019-03","2019-Q1",197000,-0.00456852791878173,"2019-02"
2019-05-31,43,"New York",3,300400,0.00334001336005344,0.0172705722993566,0.0709447415329768,0.0450488150370414,0.0132308766388081,"2007-05","2007-Q2",305200,-0.0157273918741809,"2006-06"
2019-05-31,14,"Florida",4,233200,-0.00213949507916132,-0.00511945392491468,0.0471486304445442,0.0916819808629552,0.0416256715453855,"2006-08","2006-Q3",258900,-0.0992661259173426,"2005-11"
2019-05-31,21,"Illinois",5,181100,-0.00110314396028682,0.00110558319513543,0.0366342301087579,0.0456106858614556,0.00505199580243731,"2007-04","2007-Q2",203900,-0.111819519372241,"2005-01"
2019-05-31,47,"Pennsylvania",6,173100,-0.00288018433179724,-0.00631458094144661,0.0334328358208955,0.0387989137455822,0.0136184981852114,"2019-02","2019-Q1",174200,-0.00631458094144661,"2018-12"
2019-05-31,44,"Ohio",7,139100,-0.0028673835125448,-0.0050071530758226,0.0537878787878788,0.0523050966445771,0.0219059097949825,"2019-03","2019-Q1",139900,-0.00571837026447462,"2019-01"
2019-05-31,30,"Michigan",8,152000,-0.000657462195923734,0.001977587343441,0.0734463276836158,0.0836886554668055,0.0429687706843638,"2019-04","2019-Q2",152100,-0.000657462195923734,"2019-03"
2019-05-31,16,"Georgia",9,188500,-0.00158898305084746,0,0.0870818915801615,0.0788084235426083,0.0280104554606473,"2019-03","2019-Q1",188900,-0.00211752249867655,"2019-02"
2019-05-31,36,"North Carolina",10,185000,0.00108225108225108,0.0048886474741988,0.0762070971495055,0.057023743876973,0.0227726907037151,"2019-05","2019-Q2",185000,0,"2019-05"
2019-05-31,40,"New Jersey",11,327400,-0.00304506699147381,-0.000610500610500611,0.0354206198608476,0.0400764884829048,0.0055084158527936,"2006-08","2006-Q3",375900,-0.12902367650971,"2005-04"
2019-05-31,56,"Virginia",12,258800,-0.000772200772200772,0,0.0339592489013184,0.0328313016651154,0.0140038141348429,"2007-04","2007-Q2",265600,-0.0256024096385542,"2005-11"
2019-05-31,59,"Washington",13,387100,-0.00154758834150116,-0.00257665550115949,0.0519021739130435,0.0921691090094003,0.039172813970433,"2019-03","2019-Q1",388400,-0.0033470648815654,"2019-02"
2019-05-31,26,"Massachusetts",14,407900,-0.00366389838788471,-0.0060916179337232,0.0355420157400355,0.0553372102917931,0.0333213720183319,"2019-03","2019-Q1",410600,-0.00657574281539211,"2019-01"
2019-05-31,22,"Indiana",15,144500,-0.000691562932226833,0.00486787204450626,0.0881024096385542,0.065136941314389,0.0265410147261813,"2019-04","2019-Q2",144600,-0.000691562932226833,"2019-04"
2019-05-31,8,"Arizona",16,253300,-0.000788954635108481,0.00118577075098814,0.0598326359832636,0.0720251393915461,0.0406833992336617,"2006-06","2006-Q2",269400,-0.0597624350408315,"2005-11"
2019-05-31,53,"Tennessee",17,167300,0,0.00119688809096349,0.0642493638676845,0.0714095623078095,0.0342196941293802,"2019-03","2019-Q1",167400,-0.000597371565113501,"2019-03"
2019-05-31,32,"Missouri",18,161100,-0.00247678018575851,-0.00247678018575851,0.0591715976331361,0.0510446845669175,0.0192758829194899,"2019-03","2019-Q1",161700,-0.00371057513914657,"2019-01"
2019-05-31,27,"Maryland",19,289900,-0.00378006872852234,-0.00582990397805213,0.0251060820367751,0.0353293773331607,0.00955569015853008,"2006-12","2006-Q4",334800,-0.134109916367981,"2005-06"
2019-05-31,60,"Wisconsin",20,187800,0,0.00374131480491716,0.0634201585503964,0.0503517380778833,0.0206387189950747,"2019-05","2019-Q2",187800,0,"2019-05"
2019-05-31,31,"Minnesota",21,236700,0.000845665961945032,0.00339126748622298,0.0534045393858478,0.0637258104216292,0.0326253830637961,"2019-05","2019-Q2",236700,0,"2019-05"
2019-05-31,10,"Colorado",22,380200,-0.0020997375328084,0.000263088660878716,0.0496963003865268,0.0933872385375121,0.0572446307059837,"2019-03","2019-Q1",381100,-0.00236158488585673,"2019-03"
2019-05-31,4,"Alabama",23,131200,0.0007627765064836,0.0007627765064836,0.0420969023034154,0.0360655385863087,0.0211727583981998,"2019-05","2019-Q2",131200,0,"2019-05"
2019-05-31,51,"South Carolina",24,167000,0.000599161174355902,0.003003003003003,0.0583016476552598,0.0576243064091184,0.0223358477733946,"2019-05","2019-Q2",167000,0,"2019-05"
2019-05-31,25,"Louisiana",25,145900,-0.000684931506849315,-0.00883152173913043,0.00620689655172414,0.034568968549233,0.0148525707465277,"2018-11","2018-Q4",147700,-0.012186865267434,"2018-08"
2019-05-31,24,"Kentucky",26,145400,0.000688231245698555,0.00137741046831956,0.0543872371283539,0.0507846235526104,0.0247172997883607,"2019-05","2019-Q2",145400,0,"2019-05"
2019-05-31,46,"Oregon",27,345800,-0.00202020202020202,-0.00460564191134139,0.0387503754881346,0.086299932562637,0.0417115908261969,"2019-02","2019-Q1",347400,-0.00460564191134139,"2019-01"
2019-05-31,45,"Oklahoma",28,124000,0,0.000807102502017756,0.0385259631490787,0.0551705696666702,0.0260305871811088,"2019-05","2019-Q2",124000,0,"2019-05"
2019-05-31,11,"Connecticut",29,243700,-0.00204750204750205,-0.0024559967253377,0.0171118530884808,0.0195630347425353,-0.00134413344203022,"2006-06","2006-Q2",290100,-0.159944846604619,"2004-05"
2019-05-31,19,"Iowa",30,143200,-0.00209059233449477,-0.00139470013947001,0.0399419026870007,0.0410635103822383,0.0257059998054572,"2019-03","2019-Q1",143600,-0.00278551532033426,"2019-02"
2019-05-31,34,"Mississippi",31,127600,-0.00545596258768511,-0.0039032006245121,0.0528052805280528,0.0579006341168014,0.0147683373905658,"2019-03","2019-Q1",128600,-0.00777604976671851,"2019-02"
2019-05-31,6,"Arkansas",32,126600,-0.00157728706624606,0.000790513833992095,0.0445544554455446,0.0495653007994932,0.0242770375528407,"2019-03","2019-Q1",126900,-0.00236406619385343,"2019-03"
2019-05-31,23,"Kansas",33,140300,-0.00284292821606254,0,0.050936329588015,0.0460873002087288,0.0189380859306443,"2019-04","2019-Q2",140700,-0.00284292821606254,"2019-02"
2019-05-31,55,"Utah",34,341600,-0.000292654375182909,0.00737245650250664,0.112703583061889,0.0898199694328607,0.0397177319370363,"2019-04","2019-Q2",341700,-0.000292654375182909,"2019-04"
2019-05-31,42,"Nevada",35,293500,-0.0033955857385399,-0.00440976933514247,0.0818282344268338,0.0984856992842138,0.0525892334982438,"2006-06","2006-Q2",319100,-0.0802256345973049,"2005-03"
2019-05-31,41,"New Mexico",36,195000,-0.00357690342360756,-0.00204708290685773,0.0540540540540541,0.0455055477742874,0.00910665235067443,"2019-03","2019-Q1",196000,-0.00510204081632653,"2019-02"
2019-05-31,61,"West Virginia",37,96500,-0.00206825232678387,-0.0163098878695209,0.0200845665961945,0.0305993024877667,0.0171623835896146,"2019-01","2019-Q1",98200,-0.0173116089613035,"2018-10"
2019-05-31,38,"Nebraska",38,165600,0,0.00181488203266788,0.0635838150289017,0.0585428865538749,0.0342072043829822,"2019-05","2019-Q2",165600,0,"2019-05"
2019-05-31,20,"Idaho",39,266400,0.00263455024463681,0.018348623853211,0.157757496740548,0.0963308772059006,0.0433347759827076,"2019-05","2019-Q2",266400,0,"2019-05"
2019-05-31,18,"Hawaii",40,614100,-0.00453882314799805,-0.0101547388781431,0.00853999014616522,0.0512981619744746,0.0340413464046576,"2019-01","2019-Q1",621300,-0.0115886045388701,"2018-07"
2019-05-31,28,"Maine",41,232600,-0.00214500214500214,-0.00342759211653813,0.054875283446712,0.0509800822525073,0.0302241763413056,"2019-03","2019-Q1",233600,-0.00428082191780822,"2019-02"
2019-05-31,39,"New Hampshire",42,277200,-0.000720980533525595,0.00108342361863489,0.0551960411115341,0.0560929758997712,0.0245034695125996,"2019-04","2019-Q2",277400,-0.000720980533525595,"2019-03"
2019-05-31,50,"Rhode Island",43,281700,-0.00247875354107649,-0.00283185840707965,0.0318681318681319,0.0533808170205046,0.0207054077960773,"2005-10","2005-Q4",297000,-0.0515151515151515,"2004-12"
2019-05-31,35,"Montana",44,235600,-0.00590717299578059,-0.0109151973131822,0.0499108734402852,0.0449529863046776,0.0260362183844405,"2019-03","2019-Q1",238300,-0.0113302559798573,"2018-12"
2019-05-31,13,"Delaware",45,236600,-0.0033698399326032,-0.00546448087431694,0.0124090714591356,0.0377344762221199,0.00675306801508024,"2018-01","2018-Q1",240000,-0.0141666666666667,"2017-12"
2019-05-31,52,"South Dakota",46,190100,0.00210859251449657,0.00263713080168776,0.0491169977924945,0.0529119729965339,0.0301109305241654,"2019-05","2019-Q2",190100,0,"2019-05"
2019-05-31,3,"Alaska",47,312800,0.00805671930389945,0.0228907782864617,0.0188925081433225,0.018503568871971,0.0127418411694862,"2019-05","2019-Q2",312800,0,"2019-05"
2019-05-31,37,"North Dakota",48,206700,0.000484027105517909,0.00339805825242718,0.017725258493353,0.0378008840039752,0.0434424782692175,"2019-05","2019-Q2",206700,0,"2019-05"
2019-05-31,58,"Vermont",49,202500,0.00297176820208024,-0.000986679822397632,0.0395277207392197,0.0204571842626804,0.0109528905192138,"2019-01","2019-Q1",203000,-0.00246305418719212,"2018-12"
2019-05-31,12,"District of Columbia",50,566900,-0.0113358911754447,-0.025442668041946,0.00585521646557842,0.051129316871944,0.0470670085395961,"2018-12","2018-Q4",582400,-0.026614010989011,"2018-07"
2019-05-31,62,"Wyoming",51,226300,-0.00264433671220802,0.000442086648983201,0.0366468163078333,0.0344993862469651,0.0217441704214383,"2019-04","2019-Q2",226900,-0.00264433671220802,"2019-03"
