"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05"
9,"California",1,274300,274500,274600,274900,275300,275800,276400,277000,277800,278800,279700,280400,281400,282800,284600,286800,289100,291600,294300,297200,300600,304300,307700,310800,314000,317300,320700,324100,327500,330800,334000,337300,340800,344400,347700,350700,353800,356800,359900,363200,366600,370300,374600,379300,384800,390800,396800,402700,408700,414800,421000,427200,433300,439400,445600,451900,458500,464900,470900,476400,481200,485200,488500,491100,493200,495000,496400,497800,499300,501000,503200,505800,509000,512900,517600,522800,528200,533800,539500,545200,550700,555900,560700,565400,570100,574800,579900,585700,592000,599100,606900,615200,624500,634600,645600,657700,670800,684300,697800,710800,722800,733800,744000,753300,762200,770900,779100,787200,795100,802200,808900,815100,820500,825500,829800,833200,835800,837800,839200,840000,840100,839300,837700,835000,831300,827500,823800,820300,817500,815000,812000,808100,803700,798800,793700,788100,781600,774900,767900,760300,752400,744100,735100,725400,715500,706300,698200,691500,686000,681600,677700,674100,671100,668500,665000,660100,654300,648200,643300,641100,641200,642600,644500,646600,648200,650100,651400,650900,651000,652100,651200,647800,644700,641100,637200,632900,628200,622800,618400,615200,611800,608100,605600,604100,602100,599100,596900,596200,595900,595100,596000,599400,603800,609000,615000,621400,627600,634400,641800,649500,656800,663700,672100,683300,696200,708900,720500,729800,736900,742900,747400,750600,754000,758200,762100,765300,768400,771300,774000,777000,780200,783500,787600,791800,796400,801700,807800,814100,820600,827000,833600,839700,845700,852100,857700,862300,867100,872500,876400,879800,883000,885800,887900,891100,894700,899300,904400,909700,915300,920700,924600,928200,932600,936900,941200,946100,951700,958600,967100,976000,983700,995300,1010300,1021700,1028800,1037800,1046300,1051400,1055500,1061600,1067900,1070600,1071000,1070500,1067700,1062800,1057600,1052700
54,"Texas",2,187100,187300,187800,188500,189100,189500,189400,188900,188100,187200,186400,185900,185900,186200,187000,188000,189000,190000,190900,191900,193000,194200,195300,196200,196800,197100,197300,197500,197700,197800,198100,198500,199300,200400,201600,202700,203700,204600,205700,207100,209200,212000,215800,220500,225500,230200,233900,236300,237000,235400,231700,226600,221400,217200,214000,211800,210300,209300,208600,208200,207900,207900,208000,208200,208300,208300,208000,207400,206700,205900,205000,204400,204100,204300,204900,205800,206500,206900,207000,206800,206300,205700,205300,204900,204700,204600,204800,205000,205200,205200,205100,205100,205300,206000,207100,208500,210100,211700,213100,214600,216000,217300,218500,219400,220200,220700,221100,221700,222400,223200,224100,225000,225800,226700,227500,228300,229100,229900,230700,231500,232400,233300,234400,235400,236300,237400,238400,239500,240600,241600,242600,243500,244600,245800,247200,248800,250200,251600,252900,253800,254300,254200,253600,252600,251400,250200,249100,248200,247700,247300,246900,246500,246200,246000,245800,245500,245200,244800,244400,244200,244200,244200,244200,244400,244300,244200,244500,244800,244800,244700,244400,244000,243500,243100,242700,242300,241900,241600,241300,241000,240900,241100,241300,241200,240900,240600,240500,240400,240500,240700,241100,241500,242000,242400,242900,243500,244300,244800,245200,245900,246700,247400,248200,249000,249900,251100,252500,253900,255300,256800,258100,259100,260200,261100,261700,262800,264200,265500,266900,268700,270600,272400,274200,276000,277900,279700,281200,282800,284700,286900,288800,290800,292400,293900,295300,296600,298000,299200,300300,301600,303300,305100,306900,308500,310000,311400,312800,314100,315000,315900,316800,318000,319300,320600,321800,323000,324100,325200,326500,327600,328300,330000,333500,336900,338900,340600,342100,343000,343900,345400,347300,349200,351200,353000,354500,354700,354100,353500
43,"New York",3,212100,212400,212600,212700,212800,212900,213000,213100,213500,214100,214500,214700,215000,215300,215700,216200,216700,217400,218200,219200,220400,221800,223100,224200,225200,226400,227600,229000,230400,232000,233600,235300,237100,239100,241000,243000,245200,247600,250200,252900,255600,258200,260900,263600,266700,270000,273300,276500,279700,282900,286000,288900,291700,294600,297600,300800,304200,307700,311200,314700,318200,321800,325200,328600,332000,335400,338800,342100,345200,348100,350800,353300,355900,358900,362300,366100,370200,374500,379100,384000,389300,394800,400700,406800,412700,418000,422800,427300,431400,435300,439200,443200,447200,451200,455300,459400,463800,468500,473800,479800,486200,492800,499500,505900,512300,518600,524600,530800,537200,543400,549300,554900,560200,565200,569900,574100,578000,581300,583800,586000,588200,589800,590800,591100,590600,589400,587600,585400,583300,581800,580500,579700,579200,578300,576600,574700,572700,571100,569500,567900,566200,564400,562000,559500,556800,553400,549200,545000,540900,537000,533300,529500,526000,522600,519200,516100,513400,509900,505800,502400,500200,499000,498500,498700,498900,499200,500500,499100,494800,492100,492700,492800,491200,488100,486000,484600,483100,481400,480100,479200,479100,479700,479700,479100,478600,479000,478700,477700,476000,474300,472400,471700,471800,472100,472300,472600,472600,473000,473200,473500,473900,474800,476000,477900,479400,481100,482900,485500,488000,489800,491800,494500,497500,500100,501800,503100,505400,508100,510400,513100,516400,519200,521300,523100,524800,526300,527900,529600,531600,533600,535500,537700,541300,545600,549200,551000,552600,554800,557200,559400,562100,564200,566000,568100,570600,572700,574700,577300,581000,584100,585900,587800,590400,593900,598000,602300,606000,609400,611700,612800,614100,617700,622400,626600,629900,632900,635100,636500,637000,638100,641000,644400,646100,646300,648200,650900,651900,651500
14,"Florida",4,156400,156600,156700,156900,157200,157600,158000,158400,158900,159300,159700,159900,160100,160200,160400,160700,161000,161500,162100,162800,163800,164800,165600,166000,166400,166600,166800,167100,167700,168400,169200,170000,170800,171700,172500,173200,174000,174900,175900,177000,178000,179100,180200,181500,182900,184300,185700,187000,188300,189600,191000,192400,193900,195500,197200,199000,201100,203400,206000,208800,211900,215200,218600,222100,225500,228700,231700,234600,237200,239500,241400,243000,244300,245600,246600,247600,248600,249800,251200,253000,255000,257400,260000,262800,265600,268400,271100,273900,276800,279700,282800,286000,289400,292900,296600,300600,305000,309800,315200,321300,327800,334600,341600,348700,356200,363900,371700,380000,389000,398200,407500,416500,424900,432400,439000,444800,450200,455000,459400,463700,467900,471200,473400,474400,474000,472900,471100,468700,466200,463600,460500,457000,453300,449100,444200,438700,432700,426600,420400,413900,407200,400300,393000,385600,378400,371400,364700,358300,352400,346800,341400,335900,330700,325800,320600,315100,309600,304000,298800,295200,292900,291300,290200,289500,288300,287700,288400,287700,285000,282800,281400,279300,276800,274300,272300,270300,268400,266400,264500,263600,263600,263700,263400,263100,262800,262500,262400,262500,262900,263200,263500,264200,265100,265900,266500,267400,268300,269200,269800,270900,272700,274400,275900,277800,280400,283200,286200,289000,291800,294500,297300,299900,302100,304000,306000,308400,310900,313000,315400,317900,320200,322100,323500,324800,326300,327700,329200,331100,333500,336000,338200,340300,342300,344500,346800,348900,350600,352200,353700,355600,357800,360100,362100,363800,365700,368300,371300,374100,376400,378300,379500,380300,381300,382600,383700,384700,385700,387100,388300,388800,389000,391200,394500,397000,398700,400300,401900,403300,404500,405900,407600,409200,411000,412600,413700,413500,412000,410800
21,"Illinois",5,195700,196800,197500,197800,197600,197100,196100,194800,193700,192900,192000,190800,189800,188900,187900,186600,185200,184000,183500,183700,185300,187600,190000,192200,194600,197000,199500,202200,205100,207900,210500,212600,214400,215800,216600,216800,217000,217400,218000,218900,220100,221500,223100,224900,227000,229500,231700,233700,235800,238000,240100,242200,244300,246400,248400,250200,252100,253700,255100,256300,257600,258800,260100,261600,263100,264800,266500,268300,269900,271700,273400,275200,276900,278600,280200,281700,283200,284700,286200,287700,289200,290700,292200,293800,295300,296900,298500,300100,301700,303400,305200,307100,309000,311200,313400,315600,317800,320200,322600,325200,327700,330200,332600,335000,337400,339900,342300,344900,347600,350300,353100,355900,358700,361600,364300,366700,368900,370900,372500,374200,375900,377200,378100,378900,379400,379700,380000,380000,380000,380000,379700,379200,378600,377500,376100,374600,373000,371700,370400,368900,367100,365000,362400,359800,357400,354700,351700,348400,344900,341700,338900,336100,333300,330800,328000,325000,321500,317500,313500,310600,308700,307700,307100,306900,306300,306300,307500,306800,304100,302600,301800,299600,297000,293900,290500,287800,285600,283800,282400,281300,280000,278500,276700,275700,275100,274000,272800,271700,270900,269300,266900,265300,265600,266700,267900,268600,269300,270000,270500,271100,271800,272500,273300,275200,277200,279500,282300,285400,288000,290300,291800,292600,293400,294300,294900,295600,296800,298200,299700,301300,302600,303400,303900,304400,304700,304900,305100,305800,306900,307600,308300,308800,309100,310100,311500,312300,312700,313200,313900,314900,315900,316900,317900,318700,319500,320200,321200,322600,323500,323900,324500,325600,326500,327000,327100,327400,327700,328100,329300,330800,331600,333200,335300,336700,337200,337800,337800,337100,336900,337300,337600,337800,338300,339000,339800,340200,340000,338900
47,"Pennsylvania",6,146500,146400,146400,146500,146600,146800,147100,147600,148200,148800,149400,149700,150000,150300,150500,150700,151000,151200,151500,151600,151600,151500,151400,151200,151200,151300,151500,151900,152400,153000,153700,154400,155200,156100,156900,157800,158600,159500,160300,161000,161600,162200,162800,163400,164100,164900,165700,166600,167500,168500,169500,170500,171400,172400,173500,174700,176000,177400,178800,180100,181200,182100,183000,183800,184600,185600,186600,187800,189100,190500,192000,193500,195000,196600,198200,200000,201800,203900,206100,208300,210500,212400,214200,216000,218000,220200,222500,225000,227400,229700,232000,234100,236200,238300,240600,242900,245300,247800,250300,252900,255300,257700,260100,262500,264900,267400,269800,272200,274600,277100,279500,282000,284400,286700,288800,290800,292500,294100,295600,297000,298400,299600,300800,301800,302700,303300,303700,303900,304100,304300,304400,304600,304800,304800,304600,304300,304000,303500,302900,302100,301200,300300,299300,298300,297200,295900,294600,293500,292500,291500,290600,289800,289100,288500,287900,287200,286400,285300,283900,282800,281900,281200,280700,280400,280300,280500,280800,280500,279900,279700,279600,278700,277300,276300,275200,273900,272800,271700,270600,269500,268500,267800,267200,266500,265700,264900,264200,264000,263800,263200,262800,262800,262700,262500,262400,262400,262600,263100,263800,264300,264700,265200,265600,266200,266900,267700,268500,269500,270200,270800,271400,271900,272500,273200,273600,273800,274500,275400,276000,276500,277200,277800,278300,278800,279200,279300,279400,279700,280200,280700,281300,282300,283200,283800,284200,284500,284700,285300,286200,287000,287500,288000,289000,290400,291900,293000,293700,294600,295700,296400,297100,298100,299500,301000,302200,303600,305300,306800,307800,308400,308900,310000,311500,313100,314300,315600,316700,317400,318100,318800,319900,321000,322300,323400,324400,324800,325100,325100
44,"Ohio",7,140200,140600,141100,141700,142400,143000,143600,144200,144600,145000,145300,145600,146000,146500,147100,147800,148500,149300,150000,150700,151300,151800,152200,152600,152900,153300,153900,154500,155200,156000,156700,157400,157900,158200,158400,158700,159000,159500,160000,160600,161200,161900,162600,163400,164300,165200,166200,167000,167900,168500,169100,169700,170200,170700,171200,171900,172600,173400,174300,175100,175800,176400,176800,177200,177500,177800,178100,178400,178900,179500,180100,180800,181600,182300,183000,183700,184400,185000,185700,186500,187200,187900,188500,189000,189500,190000,190600,191300,192000,192800,193700,194400,195200,195900,196500,197200,197800,198500,199200,199900,200500,201100,201800,202500,203200,203800,204300,204800,205300,206000,206700,207500,208200,208800,209300,209800,210200,210500,210700,211000,211400,211600,211700,211800,211700,211600,211500,211300,211200,211100,210900,210800,210600,210200,209600,209000,208400,207700,206900,206000,205200,204500,203700,202900,202200,201300,200500,199600,198700,197900,197200,196600,196000,195600,195200,194800,194400,193700,193000,192400,192000,191800,191800,191700,191600,191700,192000,191800,191500,191700,192000,191600,191300,190900,190300,189600,188900,187900,186900,186100,185400,184600,183900,183600,183800,183800,183800,184100,184400,184600,185100,185600,186100,186600,187000,187200,187200,187300,187500,187800,188300,188900,189600,190200,190800,191400,192400,193600,194600,195400,196000,196900,197800,198500,199200,199900,200600,201600,202700,203600,204400,205200,205900,206500,207100,207600,207900,208700,209700,210800,211800,212900,214000,215200,216100,216600,216700,217200,218000,218700,219300,220100,221300,222400,223200,224200,225100,225900,226800,227700,228700,230300,232000,233300,234400,235400,236300,237200,238200,239600,240800,241900,242700,243400,244500,245700,246800,247900,249400,250900,252500,253900,255400,256800,258100,258800,258800,258600
30,"Michigan",8,143400,144700,145900,147200,148300,149300,150400,151300,152400,153500,154500,155300,156100,156800,157600,158400,159200,160000,160800,161400,162100,162900,163700,164400,165200,166100,167100,168200,169400,170500,171500,172400,173200,174100,174800,175500,176200,176900,177700,178600,179600,180600,181800,183000,184400,185900,187300,188500,189700,190800,192000,193300,194400,195500,196600,197500,198400,199100,199600,200000,200300,200600,201000,201400,202000,202700,203500,204400,205400,206600,207800,209200,210500,211700,212700,213600,214300,214900,215500,216100,216500,216900,217400,217800,218300,218900,219500,220100,220700,221500,222300,223000,223900,224700,225500,226400,227400,228400,229500,230600,231600,232500,233500,234500,235400,236500,237400,238300,239100,239800,240400,240900,241200,241400,241500,241700,241900,242000,241900,241900,241700,241400,240800,240000,239200,238200,237300,236200,235100,234000,232700,231500,230400,229200,227800,226300,224700,223000,221100,219200,217300,215300,213200,211200,209100,206800,204400,202100,200000,197900,195900,193900,192000,190200,188300,186600,184900,182900,180800,179000,177600,176400,175500,174900,174500,174300,174600,174500,173600,172900,172900,172900,172600,172100,171500,170700,170000,169300,168500,167900,167600,167500,167400,167300,167500,167800,168300,168800,169100,169500,170000,170600,171500,172900,174300,175400,176500,178100,180100,182000,183700,185500,187300,188800,190600,192600,194500,196500,198600,200600,202600,204200,205600,207000,208200,209400,210800,212400,214100,215700,217200,218500,219300,220200,221400,222600,223900,225300,226200,227000,228000,229100,230200,231400,232600,233700,234800,235700,236700,238200,239800,241100,242600,244400,245900,247100,248200,249700,251400,252800,254300,256500,258900,260800,262100,263100,264400,266000,267100,268200,269200,269800,270600,271500,272400,274000,276200,278300,280000,281100,282400,283600,284800,286300,287700,288300,288900,289100
16,"Georgia",9,158700,159300,160000,160700,161300,161900,162500,163000,163700,164300,164800,165300,165900,166600,167300,168100,168900,169600,170400,171200,172100,173000,173900,174700,175500,176300,177200,178200,179400,180600,181900,183300,184700,186300,187700,189000,190200,191500,192900,194300,195700,197000,198400,199800,201300,202900,204400,205900,207400,208900,210500,212100,213800,215300,216900,218400,219800,221200,222400,223500,224600,225600,226600,227400,228200,229100,230000,231000,232100,233100,234100,235000,235900,236600,237200,237700,238200,238800,239500,240400,241400,242400,243300,243900,244400,244900,245400,245900,246600,247300,248100,248900,249800,250800,252000,253300,254700,256200,257800,259300,260900,262400,263700,264700,265500,266300,267300,268600,270200,272000,273900,275900,277800,279800,281700,283600,285500,287300,288800,290400,292100,293700,295300,297000,298600,300100,301500,302700,303900,304900,305700,306600,307500,307900,308000,307900,307800,307500,307200,306500,305800,304900,303500,302200,300900,299100,296800,294300,291800,289500,287400,285300,283400,281700,279700,277700,275600,273000,270200,268000,266300,265000,263900,263100,262000,261500,262300,261400,258700,257200,256900,255800,254500,252800,250800,248700,246800,244800,242400,240100,238500,237300,236200,235000,233400,231700,230300,229100,228300,227500,227000,226900,227200,227600,228200,229100,230500,232000,233500,234900,236200,237500,238600,240200,242300,244100,245600,247400,249200,251000,252700,254500,256300,257800,259100,261100,263400,265400,267100,268700,270200,271500,272600,273800,274900,275600,276300,277400,279000,280800,282600,284000,285000,285700,286200,286700,287600,288800,290400,292200,294300,296600,299200,301700,304200,306600,308800,310500,312300,314200,316000,317700,319600,320900,321700,322400,323600,325300,326800,328100,329800,332500,335400,337300,338900,340600,342300,343600,344500,346300,349800,353200,355500,357100,358400,358900,358400,357300
36,"North Carolina",10,166500,166300,166000,165600,165200,165000,165100,165600,166800,168400,170200,171900,173200,174000,174500,174500,174100,173200,172000,170200,168000,165600,163400,161600,160700,160800,161600,163100,164800,166500,168300,169800,171100,172000,172800,173800,174900,176200,177600,178900,180000,181000,181900,182900,183800,184700,185400,186000,186500,187100,187900,188900,190000,191300,192500,193600,194500,195400,196100,196500,196800,197100,197400,197600,198000,198600,199200,199900,200600,201400,202300,203000,203500,204000,204400,204800,205400,206000,206800,207900,209000,209900,210700,211600,212600,213800,215200,216700,218300,219900,221600,223100,224500,225800,227200,228500,229900,231200,232600,233900,235300,236600,237900,239000,240000,241000,242300,244000,246300,248900,251700,254600,257400,260100,262700,265400,268100,270900,273400,275900,278400,280600,282600,284600,286500,288300,289900,291500,293100,294800,296200,297600,298900,299800,300400,300900,301300,301600,301800,301800,301800,301900,301700,301400,301100,300300,299100,297700,296200,294800,293400,292000,291000,290400,289600,288900,288100,286800,285000,283200,281500,280100,278800,277800,276700,276400,277000,276500,274500,273100,272800,272100,271100,269900,268900,267800,266500,264800,262900,261500,260600,259700,258800,258000,257500,257300,257300,257300,257500,257600,257800,258100,258300,258500,259000,259600,259400,259000,259100,259800,260400,260600,260600,261000,262200,263500,264700,265700,266700,267800,268500,269100,269800,270700,271300,271800,272500,273300,274000,274700,275600,276400,277000,277600,278300,279300,280200,281300,282200,283000,283900,285000,286100,287200,288000,288500,289300,290200,291100,292300,294000,295600,296900,298400,300400,302400,304100,305300,306400,307400,308500,310000,311800,313400,314700,315700,316500,317200,318000,318800,319800,321600,323800,325700,326800,328000,329100,330600,332300,334300,336500,338700,340500,341800,343000,344000,344500,344500
